,ID,E_Brent,D_caso,D_tal,C_Gas,C_Perfo,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,LE_year_b,lc_b,dc_b,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
90,90,70,Medio,1,7,850000,-4039.8668,261286.0598,257246.1931,3.5623932419702764,168200,850639.571,908075.7393,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,9.1083,6.6755,117642.7949,109869.8425,130114.0857,626796.9405,11924.0244
91,91,40,Medio,1,7,900000,-11554.183,28138.6011,16584.4181,0.4952093250984734,177800,850639.571,908075.7393,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.5626,7.2304,113506.4069,116077.8379,29344.3069,289941.0393,14428.0695
92,92,45,Medio,1,7,900000,-10301.797,66867.4984,56565.7015,0.9731084226806478,177800,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,7.1102,115779.7621,116077.8379,46088.9811,347628.7093,13116.4268
93,93,50,Medio,1,7,900000,-9049.4109,104749.3325,95699.9216,1.4399564842510617,177800,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,7.1102,115779.7621,116077.8379,62397.9363,403071.8847,13116.4268
94,94,55,Medio,1,7,900000,-7797.0249,142568.4359,134771.4111,1.9068045458214762,177800,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,7.1102,115779.7621,116077.8379,78769.6221,458515.06,13116.4268
95,95,60,Medio,1,7,900000,-6544.6388,180341.0359,173796.3971,2.3736526073918904,177800,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,7.1102,115779.7621,116077.8379,95187.8114,513958.2353,13116.4268
96,96,65,Medio,1,7,900000,-5292.2528,218107.8281,212815.5753,2.8405006689623042,177800,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,7.1102,115779.7621,116077.8379,111611.8085,569401.4107,13116.4268
97,97,70,Medio,1,7,900000,-4039.8668,256366.2562,252326.3895,3.318390652027608,177800,850639.571,908075.7393,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,9.1083,7.0565,117642.7949,116077.8379,128825.8939,626796.9405,11924.0244
98,98,40,Medio,1,7,950000,-11554.183,23218.4458,11664.2628,0.41930321254736375,187400,850639.571,908075.7393,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.5626,7.6208,113506.4069,122285.8333,28056.4669,289941.0393,14428.0695
99,99,45,Medio,1,7,950000,-10301.797,61945.118,51643.321,0.8729411715054102,187400,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,7.4941,115779.7621,122285.8333,44803.3661,347628.7093,13116.4268
100,100,50,Medio,1,7,950000,-9049.4109,99826.9521,90777.5411,1.3160891139597424,187400,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,7.4941,115779.7621,122285.8333,61112.3213,403071.8847,13116.4268
